	meta	yat	k/h	h-drop	r/r-drop	št/ć	č dev/ć dev	eu/au/ ev/av	sa dev/s dev	tko/ko	šta/što	da li/je li	usprkos/uprkos/unatoč	bre/bolan/ba	mnogo/puno/vrlo/jako	HR months/international months	tjedan/nedjelja/nedelja/sedmica	drug/prijatelj (m/f)	treba da/trebaXXX da	inf with -i/inf without -i	synt. future/no synt. future	da' in text	da pres	og/oga	irati/isati	irati/ovati	inf/verb ratio	sr cyrillic/mix cyrillic/latin
Nesto __sto__ ne mogu nikako jesu zmijski i tigrasti printovi na __odjeci__	-	je	-	-	-	-	-	-	-	-	sto	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
🍷🎉 @ Monument http://t.co/CeWQokZ7p4	user noise	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
@gaggabor Bože zapitam se tako ima li većih diktatora i gorih izdajnika od ovih koji danas vladaju Srbijom.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
RT @Alice_on_Drugs: Toma Zdravkovic -Jelena - Branka -Danka - Sanja -Gordana- Mirjana-Marija - Slavica - Ana - itd a na kraju -Ostao sam sa…	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
@CasualConnect is coming to Belgrade! http://t.co/yWbKyTNGz4 Go @eipix - this is BIG! via @VOICT	en tweet	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
RT @History_Pics: Jimi Hendrix's final concert. September 6, 1970. Open Air Love and Peace Festival, Germany. http://t.co/r05gjArQw9	en tweet	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Meni je dovoljno i da __cuti__. Ja uzivam u toj tisini. :)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	inf-i (FP)	-	da	-	-	-	-	0.25	latin
Today stats: No new followers, One unfollower via http://t.co/U2rI4Gaipe	automatic	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Vise ne mozes ni __trznuti__ inkognito odma te doda u imenik i vidi sliku na viberu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	inf-i	-	-	-	-	-	-	0.2	latin
Krenuo da se tusiram skinuo se i kao jebote kurac pa nisi sredio sobu i tako ja sada sredjujem krevet, usisavam spremam go	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
RT @Milica2704: Kad __organizujemo__ protest zbog toga što je Zorica Brunclik zabranjena na RTS-u, a Karleuša na Pinku? Ovako se više ne može...	-	-	-	-	-	-	-	-	-	-	sto	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ovati	0	latin
RT @micamalaofishl: Od sada cu da zapracam samo one __sto__ me fejvuju.	-	-	-	-	-	-	-	-	-	-	sto	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
RT @eniac: Od svih vrsta __licemerja__ najomiljenije mi je ono kad ljudima nešto treba pa idu i lajkuju ti slike na Facebooku da te pripreme.	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
Goriiii sve http://t.co/11fkOEvcIa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
RT @celava_ti_mama: Ja ne vidim ništa nelogično u __zahtevu__ da se posle mene nema __devojka__.	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
Imam definitivno najjače pičke u zgradi i pola njih misli da imam dete zbog brata od 3 godine	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
I'm at BBBQ [pic]: http://t.co/5VxpAjgKZ0	automatic	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Andrija i Andjelka- Kad Anđa pozove: https://t.co/uSuOeaFJ8i Oni su izmislili humor 😂😂😂 Svaka cast @andrija78	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
@veceivan qq, posle tebe nema racunanja...	-	- (FN)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
@ljubobilic ne krivi prugice, krivi pederušu, pederu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
A ja te ne puštam i ne daaaam :))):)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Ma isti Mister Bin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
RT @StevanOCCRP: Radnik stamparije priznao da je ukrao testove... kao i da je odavao informacije Saricu, opljackao Srbijagas i ostalo http:…	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
FIGHT! RT @pax0707: Hangouts v Hangouts. http://t.co/SVjKNauvhx	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
@vranac nisam čuo, ali to je i dobro, znaci da je mirno __mesto__ za odmor a ne vasar.	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
Tražim __novog__ avatara, __neutralnog__	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	og	-	-	0	latin
Pa vi ste nadlezni za sektor turizma! Da li to znaci da podržavate povecanje PDV-a od 150%!?!? @MinPrivrede	-	-	-	-	-	-	-	-	-	-	-	dali	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
@gomeztastic hahahahaha ma baaas sam sexy :-D	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Jaoj majko koliko mi je zao da ih gledam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
@hrvojemihajlic možeš __probati__, recimo u Maksimiru ima gomila odvaljenih stabala, mislim da bi ti bili zahvalni ;)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	inf-i	-	da	-	-	-	-	0.11	latin
Imaš __dve__ vrste: kad je malo lajkova, pa "Jao, od mene zavisi.." i kad ih je zbilja __mnogo__, pa "Pu, jebem mu/joj mater, ne dam mu/joj više!"	-	e	-	-	-	-	-	-	-	-	-	-	-	-	mnogo	-	-	-	-	-	-	-	-	-	-	-	0	latin
“@lancegould: "There is no Plan B because there is no Planet B." -- @UN's Ban Ki-moon #cwnyc #climate2014 http://t.co/Yw1dIwLi-” #2030NOW	en tweet	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Promocija kluba :) #Cannes #party #seasoncanstart :) http://t.co/CqUwlaYtbu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
@pandurcic1 samousluzna perionica za 100 dinara auto kao nov	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
RT @drHeterosadin: #VEST ZA KLADIONIČARE: VALENSIJA DOŠLA 3+ http://t.co/F0relhkbWD	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Boze, molim te, daj mi strpljenja, ako moze odmah!	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
nikako da se sretnemo jer se i ne trazimo..	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
@Berluskoni__ Preksjutra mi je kasno. Nista, __snaci__ cu se vec. :/	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	inf-i	anal-future	-	-	-	-	-	0.33	latin
I'm at Strada Cafe and Bar - @stradacafeandba (Beograd) w/ 3 others http://t.co/Go4It9BXdp	automatic	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
25og krecem opet u skolu. Imacu vremena da piskim jedanput dnevno i to je to. Al nema veze! Love it!	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	synt-future	da	-	-	-	-	0.13	latin
#coctailnight @ Caffe Pizzeria 54 https://t.co/LeiuyXAGVZ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Ja obozavam ove nenormalne iz Tropiko benda... Nebitno __sta__ __pevaju__.	-	e	-	-	-	-	-	-	-	-	sta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Normalno je da sam i ja dobila danas poklone, ali nisam toliikaaa seljanka da to objavljujem na svim mogucim mrezama	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
Odose mi farmaceuti sad i zvanicno	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Druga ne bi __trpela__ ovo tvoje ponašanje, ali zato sam ja tu da ispadam kreten i trudim se za džabe, da da...	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	drug	-	-	-	da	-	-	-	-	0	latin
@Raxy_Flow __prije__ http://t.co/d2FoNFUVVg	-	je	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Opet Spanci igraju 8 na 5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
RT @rokalj: u __prosjeku__, ljudi u bosni nemaju platu	-	je	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Ustvari sad me je sramota, ali ne iz razloga jer nisam nista napisao u 7 dana. Sramota me koliko sam glup	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Tas losanna ridurra' la squalifica a Suarez+++	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Kafica i idemo dalje :) (@ Tabac in Paris) https://t.co/bKyyVlzo3J	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Bože ukini ovu buđavu Silu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Prelijepo jutro...	-	je	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Kupio sam kartu, vuhu! Nisam glupi imigrant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
@BasicDamir naravno. Danas i sutra smo na raspustu, od srijede opet školica	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Raspberry, chia &amp; oat milk smoothie! ❤️ #HealthyChoice @ Belgrade, Serbia https://t.co/FexkOh0S34	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Komsiluk me voli. Valjda zato i razume ovu muziku i štikle po parketu. Bruno Mars volume max. Nema dalje. Komšinica __sa treceg__.	-	- (FN)	-	-	-	-	-	-	sa-dev	-	-	-	-	-	-	-	-	-	-	-	-	-	-	og	-	-	0	latin
Kako ga ponižava sa ovim skraćenim loptama jaooo	-	-	-	-	-	-	-	-	- (FN)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
#juventus #scudetto #31 campioni d'Italia!!! http://t.co/gxbwGY9FoI	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Sad bar znam na cemu sam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Napisano pravilo, momci se biju ne ðevojke	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
__ko__ sa __decom__ leze hapse ga panduri ujutru	-	e	-	-	-	-	-	-	sa-dev	ko	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Izadji iz stare price, Ne cekaj vise, podji, Moje su ruke rasirene...	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
@sivideopatuljka divan dan :) &lt;3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Neradni praznik u Francuskoj, radni dan u Nemačkoj, dakle konačno više puta odlagani izlet u Baden Baden. #strasbourg #ete	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
RT @KaradzaMister: Igraj posteno dok ne pocnes da gubis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
Sad sam u fazonu da zelim da se zatvorim u sobu na duzi period...	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	- (FN)	-	-	-	0	latin
@Pisa_mi_se jesi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
I'm at Verazo (Raška, Central Serbia) http://t.co/bEKWryVr	automatic	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Ne znam __tko__ moze __uzivati__ u nastavku zivota s nekim __tko__ je pristao __biti__ papak?! #evoneznam	-	-	-	-	-	-	-	-	-	tko	-	-	-	-	-	-	-	-	-	inf-i	-	-	-	-	-	-	0.33	latin
@bixydoll Party Up girl @ Lasta Bistro http://t.co/ReMuXB699R	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
@miljan22 Pazi sad. Gde je konobar Al Saravi od sinoc? :)	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
RT @grbovics: Pjesma Mirrors me smiruje	-	je	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
@itsmarkian __povracacu__ ahhaha	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	synt-future	-	-	-	-	-	1	latin
RT @inmediasres93: @ManjaVeca awwww http://t.co/tdeAUutdKo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
RT @buduci_glumac: a ustipak je retardirani brat od krofne?	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	inf-i-drop (FP)	-	-	-	-	-	-	0.5	latin
RT @mariomaletic: . @avucic: vodimo pametnu i mudru politiku #nova #tvnova #novatv #politikasr	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
@nata_hari ah pa ni to joj ne želim baš, a njoj malo malo pa joj neki __nemac__ zapadne za oko	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
#ron_haviv @AJBalkans @ronhaviv http://t.co/ZJjxygMLRW	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
U jednoj državi sam kurva, u drugoj nisam, hehe	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Pardon, ja gledam Vruc __vetar__	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
I'm at PM Lucas doo in Kac, Serbia https://t.co/maGzSsNEYB	automatic	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Ako mi je zubar __lecio__ pogresan zub, vracam se __sa puskom__	-	e	-	-	-	-	-	-	sa-dev	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Bogat je onaj __ko__ ima sestru. http://t.co/0ow82BOt4A	-	-	-	-	-	-	-	-	-	ko	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Svi su me zvali na rodjendane jer drzim prodavnicu igracaka pa da im donesem nesto __lepo__	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
Pise "Tropico Bend - Paranoja" a oni __pevaju__ "Srecu". Bravo. #xfactoradria	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
RT“@Vivian_NYC: #Gladiator down gladiator down,best show ever!!! #ScandaI @kerrywashington @scottkfoley http://t.co/ebY5xfU9e2” cc@ishragaE	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
RT @IvyJbte: 17:07 Ljudi, ako na nasipima ili volonterima bilo __gde__ treba hrana/__piće__ zovite @BlackVladaBerry na 0631335805 pa se dogovarajte!	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	synt-future (FP)	-	-	-	-	-	0.2	latin
Voleo je __lepu__, al sirotu	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
@bubammarica ako ti tako kazes ne moze	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
LAJK I STAVIM TI ❤&lt;&lt;&lt;LAJK I UDARIM TE SEKIROM PO SRED CELA	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Brat me pita jesam li dobro posto sam posle __nedelju__ dana izasla iz kuce, to opisuje to moj socijalni zivot, tuga	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	nedelja	-	-	inf-i-drop (FP)	-	-	-	-	-	-	0.11	latin
Platis sobu u hotelu avala 250€ i ne mozes da se __pomeris__ iz hotela :). Jebi ga, niko nije kriv za magistralu __sa jednom__ trakom.	-	e	-	-	-	-	-	-	sa-dev	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
Mrs na fejz	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
RT @BegsDemijan: __zaljubiću__ se u samoću, ona nikad ne ostavlja	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	synt-future	-	-	-	-	-	0.5	latin
Nikada u zivotu nisam bio malo dete. Rodjen __sa 54cm__, osnovnu zavrsio __sa 198__, a sada sam 202.Tako da bukvalno sam __uvek__ gledao __sa visine__ ljude	-	e	-	-	-	-	-	-	sa-dev	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
Do we need #education? http://t.co/ubE6eMDEa6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
@DjuricStanislav ...ja spavam budna ...:)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
#Baščaršija #BiH #bosnianfood #bosnianbeauties #ćevapi #džamija #minaret @ Baščaršija https://t.co/qSx4hY27A0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Gde si sad?	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
RT @MilosAJovanovic: Samo Oktobar II Srbina Spasava.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	int-months	-	-	-	-	-	-	-	-	-	-	0	latin
Estranged son wandering the streets of Manhattan :-) #newyorkcity #manhattan #bijelopolje @ New… https://t.co/M2wD6r7X2d	en tweet	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Na farmakologiji __pevam__ OTROVE TI MI DOĐEŠ KAO LEK	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Profesorka, zar i vi da mi se ismevate zbog toga što se retardirano __smejem__?	-	e	-	-	-	-	-	-	-	-	sto	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
A1 autocesta Zadar - Zagreb je skroz cista do Janca ali onda pocinje nered do male Kapele. Desetak automobila je vec zapelo, ralica __nigdje__	-	je	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
@TelenorSrbija Koja je __cena__ usluge My Contacts, pošto u Telenor Magazinu __umesto__ __cene__ piše "xxx", dok su za Deezer itd navedene __cene__?	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Jedino što po ovim vrućinama prija bolje od ledene vode je ledeni Schweppes bitter lemon. Pijem svaku čašu na eks.	-	-	-	-	-	-	-	-	-	-	sto	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
@Dovlicije @LadyLovily Izletiti kao leteca cigla.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	inf-i	-	-	-	-	-	-	1	latin
RT @MinaTootie: Ko ne voli clipsy kokice taj __covek__ nije!	-	e	-	-	-	-	-	-	-	ko	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Beat this! http://t.co/huEZtQmSse	en tweet	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
@EsiMiBobann Gradske priče...	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
I'm at Ekonomski Fakultet (Podgorica) w/ 4 others http://t.co/5J6LNeDDmN	automatic	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Krajnji rezultat: 116 kulena, 5kg cvaraka, 10 pari tankih kobasica, 45 litara masti, tabla carskih rebara. Sreća, sreća, radost!	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Ozbiljno paljenje mase od strane plaćenika , više brani vlast od Ljajića koji je deo vlast #ćirilica	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
@leakulauzovic Doći će mi u snovima, da mi ukrade poljupce :)) Tvoj je idući tjedan!	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	tjedan	-	-	inf-i	anal-future	da	-	-	-	-	0.2	latin
I'm at Το στέκι της Γιάννας https://t.co/82uFWXK1OL	automatic	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
#Vlada sabotira #Špar nemam drugo objašnjenje!	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
RT @ajdpali: Hej Sloveni je jedno osamsto dvadeset tri puta __lepša__ himna od Bože Pravde.	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
RT @bacamhejt: Kad mi kazete da sam slatka a ne __lepa__ udavila bih vas trepavicom	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
Svetla strana mi je sport	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
@thugstyle07 @Jovananap @Nuts_Engineer_ @Posrnulapozerka @Maza_i_Nevolja @baron_harkonen @Cicero__ @memkaaaa __jel__ ovo znaci da je 5ak??	-	-	-	-	-	-	-	-	-	-	-	jeli	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
@PLazmicaje nemoj molim te neka:)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Best muffins in the town... (@ The Pub (BIG) in Novi Sad) http://t.co/N72tRsxHdU http://t.co/itdTtBCbPg	en tweet	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
heyy https://t.co/DHf9VmeYY0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Ne nije __vreme__ za ljubav ja __necu__ __naslednike__	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Ijaoo ladno ima još 5 dana doo __prijemnog__:-O auuu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	og	-	-	0	latin
I'm at Ceger (Belgrade, Serbia) http://t.co/SIbvlDqleu	automatic	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
za iskusne... #svadba http://t.co/fsrYQY7McO	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Zena daje izjavu za tv i drzi lutku u onom kenguru za bebe, jos je i mazi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
RT @GagaGrne: Da okušamo sreću. :D #MojAndroid2 Ionako je @IlijaPusica bio rođendan __pre__ par dana. @PCPressRS Pa može i neki RT :D http://t.…	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
Ljubavi mog života @Terentia3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Kanjon Nevidio - Extreme Adventure http://t.co/9OmXMB4uzl	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
@petar_cetkovic Kako Zecanin zove dragi kamen? -MILJI BUBULJ ahahahahhahahahahahahahahahaha	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Ako ti još jednom oprostim,koliko će suza __koštati__?	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	inf-i	-	-	-	-	-	-	0.33	latin
My Twitter account's worth $574.20. Show me yours at http://t.co/2E7UuT0Flj. Sunday's Freebie -- Click --&gt; http://t.co/dzyjtyNOPp	en tweet	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
RT @KevinSpacey: I want to recognize those impacted by the #SerbianFloods and efforts of @DjokerNole. May all affected get the support they…	en tweet	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Ma __jel__ moguće da će #BRA ovo __preživjeti__	-	je	-	-	-	-	-	-	-	-	-	jeli	-	-	-	-	-	-	-	inf-i	-	da	-	-	-	-	0.33	latin
